date,model,portfolio_return
2015-02-02,sample,0.007788204788709361
2015-02-03,sample,0.008743869370341838
2015-02-04,sample,-0.0036181852460255358
2015-02-05,sample,0.008138310150605368
2015-02-06,sample,-0.016002641911250115
2015-02-09,sample,-0.003354659406219746
2015-02-10,sample,0.011803893145953415
2015-02-11,sample,-0.0026170677893371875
2015-02-12,sample,0.002011088433535805
2015-02-13,sample,0.0005721897380792144
2015-02-17,sample,-0.0018283672965744642
2015-02-18,sample,0.003847901087331252
2015-02-19,sample,-0.007006279334588956
2015-02-20,sample,0.003890012536644053
2015-02-23,sample,0.004762413547035893
2015-02-24,sample,0.004305965772179309
2015-02-25,sample,-0.0030888456776183427
2015-02-26,sample,0.0021251787685267393
2015-02-27,sample,-0.0005430460853314007
2015-02-02,ewma,0.007785505805598562
2015-02-03,ewma,0.0019205393763047389
2015-02-04,ewma,-0.0028059615378931324
2015-02-05,ewma,0.010314197116496015
2015-02-06,ewma,-0.02220123580416621
2015-02-09,ewma,-0.0023485126030656387
2015-02-10,ewma,0.012277427762117769
2015-02-11,ewma,-0.0053793748440509595
2015-02-12,ewma,0.001179792567057744
2015-02-13,ewma,-0.00459226261558309
2015-02-17,ewma,-0.004880433372719086
2015-02-18,ewma,0.007839097590925222
2015-02-19,ewma,-0.00749813411531388
2015-02-20,ewma,0.0044707797884807055
2015-02-23,ewma,0.005339521787741309
2015-02-24,ewma,-0.004029882369288671
2015-02-25,ewma,0.0016600442699587614
2015-02-26,ewma,0.0013567452928750908
2015-02-27,ewma,0.0016649216063205504
2015-02-02,ledoit_wolf,0.007953233577087666
2015-02-03,ledoit_wolf,0.008908807798950836
2015-02-04,ledoit_wolf,-0.0036105041250243716
2015-02-05,ledoit_wolf,0.008137176063916975
2015-02-06,ledoit_wolf,-0.015909291940111925
2015-02-09,ledoit_wolf,-0.003053538872079044
2015-02-10,ledoit_wolf,0.01193635802723906
2015-02-11,ledoit_wolf,-0.002704584448877827
2015-02-12,ledoit_wolf,0.0023487504496201316
2015-02-13,ledoit_wolf,0.000557976573618728
2015-02-17,ledoit_wolf,-0.0019550037745316813
2015-02-18,ledoit_wolf,0.003972575488886311
2015-02-19,ledoit_wolf,-0.0072591721384444065
2015-02-20,ledoit_wolf,0.0039815062700893295
2015-02-23,ledoit_wolf,0.004823969779115325
2015-02-24,ledoit_wolf,0.004289409129711008
2015-02-25,ledoit_wolf,-0.002907772505297781
2015-02-26,ledoit_wolf,0.0016953379502829611
