model,daily_predicted_variance,daily_predicted_volatility,annualized_predicted_volatility,equal_weight_daily_predicted_variance,equal_weight_daily_predicted_volatility,equal_weight_annualized_predicted_volatility,largest_stock_weight,smallest_stock_weight,stocks_over_1pct,stocks_effectively_zero,hhi,effective_holdings,stock_cap_binding,stock_cap_binding_tickers,sector_cap_binding,sector_cap_binding_sectors,constraint_tolerance,sector_weight_information_technology,sector_weight_financials,sector_weight_health_care,sector_weight_consumer_discretionary,sector_weight_consumer_staples,sector_weight_industrials,sector_weight_energy,sector_weight_utilities,sector_weight_real_estate,sector_weight_materials,sector_weight_communication_services
sample,4.004104539324299e-05,0.006327799411584014,0.1004507015361129,6.170817064158512e-05,0.007855454833527153,0.12470147954887885,0.15,0.0,13,8,0.10695824730500694,9.349442658202458,True,KO|DUK,False,<none>,1e-06,0.12663354666662752,0.029144971832156672,0.18255503375896642,2.2675579265480586e-18,0.22065358101056903,0.051835690753557165,0.12091911065560869,0.15,0.030098462735720567,0.0014215311218719016,0.08673807146492185
ewma,1.2833940683088977e-05,0.0035824489784348607,0.056869614489096214,2.5750567757760865e-05,0.005074501725072213,0.080555217552656,0.14087365403686863,0.0,16,5,0.0876950235974323,11.403155606531817,False,<none>,False,<none>,1e-06,0.12615950286280112,0.038652248746375996,0.0342630921372467,1.0909784360635388e-18,0.08829625123222257,0.12794301645576617,0.20496478336230678,0.16775219599924387,0.09458565712651898,0.02981275677698739,0.0875704953005302
ledoit_wolf,3.932084936099872e-05,0.006270633888292213,0.09954322698693104,5.7394821137484085e-05,0.00757593698082845,0.12026427119741752,0.15,0.0,13,4,0.09840991177263433,10.161578056389217,True,KO|DUK,False,<none>,1e-06,0.1153964433434253,0.037995942363713675,0.1639773481404623,0.002903714833011238,0.22326208383681484,0.048592078194884696,0.12445084358795648,0.15,0.03690825510814311,0.00798888703080786,0.08852440356078037
