model,sector,average_sector_weight,minimum_sector_weight,maximum_sector_weight,ewma_minus_mean_sample_ledoit_wolf
equal_weight,Communication Services,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.012148881482185646
equal_weight,Consumer Discretionary,0.0909090909090908,0.0909090909090908,0.0909090909090908,-0.006922717596528613
equal_weight,Consumer Staples,0.0909090909090908,0.0909090909090908,0.0909090909090908,-0.05706389674824375
equal_weight,Energy,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.015519046100933076
equal_weight,Financials,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.02173689762477707
equal_weight,Health Care,0.0909090909090908,0.0909090909090908,0.0909090909090908,-0.02518975326560724
equal_weight,Industrials,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.004603153471483094
equal_weight,Information Technology,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.018005892143506202
equal_weight,Materials,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.008283268831769261
equal_weight,Real Estate,0.0909090909090908,0.0909090909090908,0.0909090909090908,0.027779338542299227
equal_weight,Utilities,0.0909090909090908,0.0909090909090908,0.0909090909090908,-0.018900110586573815
ewma,Communication Services,0.04429493361126292,0.0,0.25,0.012148881482185646
ewma,Consumer Discretionary,0.06863409645052464,0.0,0.25,-0.006922717596528613
ewma,Consumer Staples,0.1867225964855495,7.468628309120068e-17,0.25,-0.05706389674824375
ewma,Energy,0.08729986258932912,0.0,0.2499999999999999,0.015519046100933076
ewma,Financials,0.06570483328281991,0.0,0.24298892415443107,0.02173689762477707
ewma,Health Care,0.14847250542020793,0.0,0.25,-0.02518975326560724
ewma,Industrials,0.04833660939473006,0.0,0.25,0.004603153471483094
ewma,Information Technology,0.061716374783310185,0.0,0.2499999999999999,0.018005892143506202
ewma,Materials,0.07827101447970243,0.0,0.25,0.008283268831769261
ewma,Real Estate,0.05516946679012785,0.0,0.2499999999999999,0.027779338542299227
ewma,Utilities,0.155377706712435,0.0,0.25,-0.018900110586573815
ledoit_wolf,Communication Services,0.03283311194832188,0.0,0.0893497928282351,0.012148881482185646
ledoit_wolf,Consumer Discretionary,0.07562151847666779,0.0024950342958894,0.20054829149443798,-0.006922717596528613
ledoit_wolf,Consumer Staples,0.24334733803600614,0.1446712095823876,0.25,-0.05706389674824375
ledoit_wolf,Energy,0.07187838935437359,0.0,0.147880301476513,0.015519046100933076
ledoit_wolf,Financials,0.043915053292946246,0.0,0.1600741330339025,0.02173689762477707
ledoit_wolf,Health Care,0.17292982048808592,0.030187039789461603,0.25,-0.02518975326560724
ledoit_wolf,Industrials,0.04418216096134896,0.0,0.151525212091756,0.004603153471483094
ledoit_wolf,Information Technology,0.0428554117063819,0.0,0.1692209392322751,0.018005892143506202
ledoit_wolf,Materials,0.07072804388678894,0.0,0.15000000000000002,0.008283268831769261
ledoit_wolf,Real Estate,0.028118170946750155,0.0,0.1191132034279001,0.027779338542299227
ledoit_wolf,Utilities,0.17359098090232788,0.071987223088672,0.25,-0.018900110586573815
sample,Communication Services,0.03145899230983267,0.0,0.0895668955079514,0.012148881482185646
sample,Consumer Discretionary,0.0754921096174387,0.0,0.2091750269307997,-0.006922717596528613
sample,Consumer Staples,0.2442256484315804,0.1439688660468525,0.25,-0.05706389674824375
sample,Energy,0.07168324362241849,0.0,0.14938984747348588,0.015519046100933076
sample,Financials,0.04402081802313944,0.0,0.1684436578966205,0.02173689762477707
sample,Health Care,0.17439469688354442,0.0278576328008889,0.25,-0.02518975326560724
sample,Industrials,0.04328475088514497,0.0,0.1533025863339263,0.004603153471483094
sample,Information Technology,0.04456555357322607,0.0,0.1783461557630956,0.018005892143506202
sample,Materials,0.06924744740907741,0.0,0.15000000000000002,0.008283268831769261
sample,Real Estate,0.026662085548907092,0.0,0.1223843945915634,0.027779338542299227
sample,Utilities,0.17496465369568978,0.0721369453929601,0.25,-0.018900110586573815
