model,confidence_level,var_forecasts,var_exceedances,empirical_exceedance_rate,expected_exceedance_rate,average_historical_var,average_historical_es,maximum_realized_loss,kupiec_lr_uc,kupiec_p_value
sample,0.95,2660,127,0.04774436090225564,0.050000000000000044,0.012769764622572313,0.01955672954115804,0.0969530804268256,0.28907627205145303,0.5908130857614782
sample,0.99,2660,33,0.012406015037593985,0.010000000000000009,0.025077513588798166,0.030461752308518237,0.0969530804268256,1.44492546716263,0.2293439528540031
ewma,0.95,2660,130,0.04887218045112782,0.050000000000000044,0.012715580423449306,0.0194991950551436,0.102907679574999,0.07174390765610283,0.7888143722008287
ewma,0.99,2660,31,0.011654135338345865,0.010000000000000009,0.02377716496251977,0.02974360168433244,0.102907679574999,0.6980671098045477,0.4034339365172776
ledoit_wolf,0.95,2660,126,0.04736842105263158,0.050000000000000044,0.01272473893651713,0.019547396161843405,0.0968601093061705,0.394432941857362,0.5299784145801492
ledoit_wolf,0.99,2660,33,0.012406015037593985,0.010000000000000009,0.02500977855643542,0.030442540031388274,0.0968601093061705,1.44492546716263,0.2293439528540031
equal_weight,0.95,2660,123,0.0462406015037594,0.050000000000000044,0.015061256666734253,0.022304960643231404,0.1145725022663488,0.8109863981217735,0.3678287824200884
equal_weight,0.99,2660,33,0.012406015037593985,0.010000000000000009,0.028501958138053254,0.03411715388304333,0.1145725022663488,1.44492546716263,0.2293439528540031
