model,annualized_return,annualized_realized_volatility,sharpe_ratio_rf0,maximum_drawdown,average_monthly_turnover,mean_realized_volatility,mae,rmse,bias,mean_predicted_volatility,underprediction_frequency
sample,0.12761004664223985,0.14588112915265536,0.8965036083116462,-0.33235202693380095,0.05817744227871004,0.1180141615453526,0.05147022956197732,0.09197247221048335,0.009158417890574111,0.12717257943592672,0.30935251798561153
ewma,0.12172438409662578,0.14549619182370746,0.8625232247235439,-0.3111985000255967,0.375361984621982,0.11963121194646685,0.041381394941802464,0.08307699953698892,-0.022775280595538006,0.09685593135092885,0.7266187050359713
ledoit_wolf,0.1270174109571327,0.14583143191717649,0.8931473869170958,-0.3322600358978728,0.055874602566398535,0.11788961209759749,0.05082959736976104,0.0915531809790546,0.00771293783215151,0.125602549929749,0.30935251798561153
equal_weight,0.178195115615579,0.1631967341630594,1.0869262539131985,-0.32802012386739177,0.022242193094115553,0.13349536026646072,,,,,
