model,regime,months,high_volatility_threshold,mae,rmse,bias,underprediction_frequency
sample,high_volatility,35,0.1294620408291727,0.08771792752578451,0.1610876047879096,-0.0663158152715104,0.7428571428571429
sample,remaining_months,104,0.1294620408291727,0.03927148505492676,0.05072261292255728,0.03455840020473715,0.16346153846153846
ewma,high_volatility,35,0.1294620408291727,0.09770334497730984,0.15773876348004132,-0.0595407137013415,0.7142857142857143
ewma,remaining_months,104,0.1294620408291727,0.022426892526006655,0.029170486729894536,-0.010402298300315655,0.7307692307692307
ledoit_wolf,high_volatility,35,0.1294620408291727,0.08774868646390278,0.1614313841448691,-0.06829041826156179,0.7428571428571429
ledoit_wolf,remaining_months,104,0.1294620408291727,0.03840490392461711,0.049321618674679775,0.03329099036368961,0.16346153846153846
