model,average_monthly_l1_target_change,median_monthly_l1_target_change,p95_monthly_l1_target_change,largest_monthly_l1_target_change,most_unstable_ticker,most_unstable_target_weight_std
sample,0.09964530186968146,0.0780947931415565,0.24804443586020652,0.903961179466163,AMZN,0.05611595048755377
ewma,0.7473321175669484,0.719666279044229,1.105196375252076,1.5215579777289938,DUK,0.05697826650548143
ledoit_wolf,0.09629153598765713,0.07489141186373517,0.23799406068735807,0.8918587231419121,AMZN,0.05583722733737693
equal_weight,0.0,0.0,0.0,0.0,AAPL,0.0
