rebalance_date,model,sector,sector_weight
2015-01-30,equal_weight,Communication Services,0.0909090909090908
2015-01-30,equal_weight,Consumer Discretionary,0.0909090909090908
2015-01-30,equal_weight,Consumer Staples,0.0909090909090908
2015-01-30,equal_weight,Energy,0.0909090909090908
2015-01-30,equal_weight,Financials,0.0909090909090908
2015-01-30,equal_weight,Health Care,0.0909090909090908
2015-01-30,equal_weight,Industrials,0.0909090909090908
2015-01-30,equal_weight,Information Technology,0.0909090909090908
2015-01-30,equal_weight,Materials,0.0909090909090908
2015-01-30,equal_weight,Real Estate,0.0909090909090908
2015-01-30,equal_weight,Utilities,0.0909090909090908
2015-01-30,ewma,Communication Services,2.5163654797030758e-17
2015-01-30,ewma,Consumer Discretionary,0.1010512279898088
2015-01-30,ewma,Consumer Staples,0.24999999999999992
2015-01-30,ewma,Energy,7.758821796849391e-19
2015-01-30,ewma,Financials,6.156235460644255e-18
2015-01-30,ewma,Health Care,0.0407542291917259
2015-01-30,ewma,Industrials,0.0
2015-01-30,ewma,Information Technology,0.0601211037985968
2015-01-30,ewma,Materials,0.0480734390198684
2015-01-30,ewma,Real Estate,0.2499999999999999
2015-01-30,ewma,Utilities,0.2499999999999999
2015-01-30,ledoit_wolf,Communication Services,0.0307269178197813
2015-01-30,ledoit_wolf,Consumer Discretionary,0.0688805918936545
2015-01-30,ledoit_wolf,Consumer Staples,0.25
2015-01-30,ledoit_wolf,Energy,0.1003802417795192
2015-01-30,ledoit_wolf,Financials,1.2108335981000225e-18
2015-01-30,ledoit_wolf,Health Care,0.1501891209318921
2015-01-30,ledoit_wolf,Industrials,0.023981240307733
2015-01-30,ledoit_wolf,Information Technology,0.09698730277613811
2015-01-30,ledoit_wolf,Materials,0.0405520955586013
2015-01-30,ledoit_wolf,Real Estate,0.029682610873451
2015-01-30,ledoit_wolf,Utilities,0.2086198780592288
2015-01-30,sample,Communication Services,0.0291414210284904
2015-01-30,sample,Consumer Discretionary,0.0640798034539099
2015-01-30,sample,Consumer Staples,0.25
2015-01-30,sample,Energy,0.1000150800336434
2015-01-30,sample,Financials,1.7718235190665454e-17
2015-01-30,sample,Health Care,0.1619180801812691
2015-01-30,sample,Industrials,0.0208500953829344
2015-01-30,sample,Information Technology,0.0997039078617064
2015-01-30,sample,Materials,0.0412223824489636
2015-01-30,sample,Real Estate,0.0259552894631837
2015-01-30,sample,Utilities,0.2071139401458983
2015-02-27,equal_weight,Communication Services,0.0909090909090908
2015-02-27,equal_weight,Consumer Discretionary,0.0909090909090908
2015-02-27,equal_weight,Consumer Staples,0.0909090909090908
2015-02-27,equal_weight,Energy,0.0909090909090908
2015-02-27,equal_weight,Financials,0.0909090909090908
2015-02-27,equal_weight,Health Care,0.0909090909090908
2015-02-27,equal_weight,Industrials,0.0909090909090908
2015-02-27,equal_weight,Information Technology,0.0909090909090908
2015-02-27,equal_weight,Materials,0.0909090909090908
2015-02-27,equal_weight,Real Estate,0.0909090909090908
2015-02-27,equal_weight,Utilities,0.0909090909090908
2015-02-27,ewma,Communication Services,0.1531167785246922
2015-02-27,ewma,Consumer Discretionary,0.0485601793439202
2015-02-27,ewma,Consumer Staples,0.25
2015-02-27,ewma,Energy,0.06974995733442892
2015-02-27,ewma,Financials,0.0113291465282351
2015-02-27,ewma,Health Care,0.15
2015-02-27,ewma,Industrials,0.0
2015-02-27,ewma,Information Technology,0.07758478738908331
2015-02-27,ewma,Materials,0.0641812808515548
2015-02-27,ewma,Real Estate,0.15
2015-02-27,ewma,Utilities,0.0254778700280852
2015-02-27,ledoit_wolf,Communication Services,0.0388117598841776
2015-02-27,ledoit_wolf,Consumer Discretionary,0.0821772013060023
2015-02-27,ledoit_wolf,Consumer Staples,0.2499999999999999
2015-02-27,ledoit_wolf,Energy,0.10165508225322581
2015-02-27,ledoit_wolf,Financials,0.010222250245166901
2015-02-27,ledoit_wolf,Health Care,0.1403692042956971
2015-02-27,ledoit_wolf,Industrials,0.023990177884289806
2015-02-27,ledoit_wolf,Information Technology,0.1010685626952527
2015-02-27,ledoit_wolf,Materials,0.0409351430386655
2015-02-27,ledoit_wolf,Real Estate,0.031762965557621
2015-02-27,ledoit_wolf,Utilities,0.1790076528399008
2015-02-27,sample,Communication Services,0.0376222487730574
2015-02-27,sample,Consumer Discretionary,0.080497230123496
2015-02-27,sample,Consumer Staples,0.2499999999999999
2015-02-27,sample,Energy,0.10535075189141359
2015-02-27,sample,Financials,0.008764221269388306
2015-02-27,sample,Health Care,0.15072429973163298
2015-02-27,sample,Industrials,0.020704907213440402
2015-02-27,sample,Information Technology,0.1011172453652089
2015-02-27,sample,Materials,0.0414860866124328
2015-02-27,sample,Real Estate,0.027697027808526804
2015-02-27,sample,Utilities,0.1760359812114023
2015-03-31,equal_weight,Communication Services,0.0909090909090908
2015-03-31,equal_weight,Consumer Discretionary,0.0909090909090908
2015-03-31,equal_weight,Consumer Staples,0.0909090909090908
2015-03-31,equal_weight,Energy,0.0909090909090908
2015-03-31,equal_weight,Financials,0.0909090909090908
2015-03-31,equal_weight,Health Care,0.0909090909090908
2015-03-31,equal_weight,Industrials,0.0909090909090908
2015-03-31,equal_weight,Information Technology,0.0909090909090908
2015-03-31,equal_weight,Materials,0.0909090909090908
2015-03-31,equal_weight,Real Estate,0.0909090909090908
2015-03-31,equal_weight,Utilities,0.0909090909090908
2015-03-31,ewma,Communication Services,0.2207196168746595
2015-03-31,ewma,Consumer Discretionary,0.016795757916006206
2015-03-31,ewma,Consumer Staples,0.2333173634346702
2015-03-31,ewma,Energy,0.139710910596827
2015-03-31,ewma,Financials,0.1499999999999999
2015-03-31,ewma,Health Care,0.0
2015-03-31,ewma,Industrials,6.008639969585193e-19
2015-03-31,ewma,Information Technology,0.0182539730987146
2015-03-31,ewma,Materials,0.0712023780791224
2015-03-31,ewma,Real Estate,1.6888354660593054e-17
2015-03-31,ewma,Utilities,0.1499999999999999
2015-03-31,ledoit_wolf,Communication Services,0.039124820169517995
2015-03-31,ledoit_wolf,Consumer Discretionary,0.0754790111601871
2015-03-31,ledoit_wolf,Consumer Staples,0.2499999999999999
2015-03-31,ledoit_wolf,Energy,0.1202084278507117
2015-03-31,ledoit_wolf,Financials,0.0264507851899508
2015-03-31,ledoit_wolf,Health Care,0.1317443613109702
2015-03-31,ledoit_wolf,Industrials,0.0105394783462307
2015-03-31,ledoit_wolf,Information Technology,0.1136444738690645
2015-03-31,ledoit_wolf,Materials,0.036191318805419204
2015-03-31,ledoit_wolf,Real Estate,0.0267832216409645
2015-03-31,ledoit_wolf,Utilities,0.1698341016569827
2015-03-31,sample,Communication Services,0.037685193079824104
2015-03-31,sample,Consumer Discretionary,0.0722649679066982
2015-03-31,sample,Consumer Staples,0.2499999999999999
2015-03-31,sample,Energy,0.1249635278981375
2015-03-31,sample,Financials,0.026554782880198004
2015-03-31,sample,Health Care,0.1396461214065416
2015-03-31,sample,Industrials,0.0066796289818567
2015-03-31,sample,Information Technology,0.1172240745702962
2015-03-31,sample,Materials,0.036468422338618904
2015-03-31,sample,Real Estate,0.0236372697307891
2015-03-31,sample,Utilities,0.16487601120703899
2015-04-30,equal_weight,Communication Services,0.0909090909090908
2015-04-30,equal_weight,Consumer Discretionary,0.0909090909090908
2015-04-30,equal_weight,Consumer Staples,0.0909090909090908
2015-04-30,equal_weight,Energy,0.0909090909090908
2015-04-30,equal_weight,Financials,0.0909090909090908
2015-04-30,equal_weight,Health Care,0.0909090909090908
2015-04-30,equal_weight,Industrials,0.0909090909090908
2015-04-30,equal_weight,Information Technology,0.0909090909090908
2015-04-30,equal_weight,Materials,0.0909090909090908
2015-04-30,equal_weight,Real Estate,0.0909090909090908
2015-04-30,equal_weight,Utilities,0.0909090909090908
2015-04-30,ewma,Communication Services,0.05822978803115141
2015-04-30,ewma,Consumer Discretionary,0.02668178116961171
2015-04-30,ewma,Consumer Staples,0.24999999999999992
2015-04-30,ewma,Energy,0.145029015289966
2015-04-30,ewma,Financials,0.15
2015-04-30,ewma,Health Care,0.15
2015-04-30,ewma,Industrials,4.524961570018803e-18
2015-04-30,ewma,Information Technology,0.0
2015-04-30,ewma,Materials,0.0584013706473734
2015-04-30,ewma,Real Estate,0.09158794716072749
2015-04-30,ewma,Utilities,0.0700700977011697
2015-04-30,ledoit_wolf,Communication Services,0.0398512737186032
2015-04-30,ledoit_wolf,Consumer Discretionary,0.06726287153015
2015-04-30,ledoit_wolf,Consumer Staples,0.2499999999999999
2015-04-30,ledoit_wolf,Energy,0.1153273719924713
2015-04-30,ledoit_wolf,Financials,0.0459608045789577
2015-04-30,ledoit_wolf,Health Care,0.13520553282881131
