model,mean_hhi,mean_effective_holdings,minimum_effective_holdings,maximum_effective_holdings,mean_positions_over_1pct,mean_positions_effectively_zero,mean_largest_stock_weight,maximum_largest_sector_weight
sample,0.10867609873988675,9.26447667319601,8.048781797149807,11.622879366150793,12.496402877697841,7.748201438848921,0.14989912434392788,0.25
ewma,0.11350671738525644,8.893102334020394,7.2463957142616655,11.749478276506068,11.251798561151078,9.884892086330936,0.14994479572659006,0.25
ledoit_wolf,0.10515080582248106,9.573985999571681,8.234951702889461,12.114826366871501,13.158273381294965,7.136690647482014,0.14962880152589256,0.25
equal_weight,0.04545454545454533,22.00000000000006,22.00000000000006,22.00000000000006,22.0,0.0,0.0454545454545454,0.0909090909090908
