model,regime,stage5_months,stage5_mae,stage5_rmse,stage5_bias,stage5_underprediction_frequency,equal_weight_reference_months,equal_weight_reference_mae,equal_weight_reference_rmse,equal_weight_reference_bias,equal_weight_reference_underprediction_frequency
sample,high_volatility,35,0.08771792752578451,0.1610876047879096,-0.0663158152715104,0.7428571428571429,35,0.08338168462368419,0.1599063444993242,-0.07049595400262675,0.8
sample,remaining_months,104,0.03927148505492676,0.05072261292255728,0.03455840020473715,0.16346153846153846,104,0.04073079757005667,0.05196528882126378,0.03596517766232438,0.14423076923076922
ewma,high_volatility,35,0.09770334497730984,0.15773876348004132,-0.0595407137013415,0.7142857142857143,35,0.0974525226425785,0.1580702921976433,-0.055840425783693595,0.6571428571428571
ewma,remaining_months,104,0.022426892526006655,0.029170486729894536,-0.010402298300315655,0.7307692307692307,104,0.022511303888656624,0.028560143489201745,-0.011647587503370237,0.75
ledoit_wolf,high_volatility,35,0.08774868646390278,0.1614313841448691,-0.06829041826156179,0.7428571428571429,35,0.0839299582895952,0.16040737447748615,-0.07252928936477496,0.8
ledoit_wolf,remaining_months,104,0.03840490392461711,0.049321618674679775,0.03329099036368961,0.16346153846153846,104,0.039690052829432165,0.05043345817374004,0.03471753352342481,0.14423076923076922
