model,regime,months,high_volatility_threshold,mae,rmse,bias,underprediction_frequency
sample,high_volatility,35,0.158075323450169,0.08338168462368419,0.1599063444993242,-0.07049595400262675,0.8
sample,remaining_months,104,0.158075323450169,0.04073079757005667,0.05196528882126378,0.03596517766232438,0.14423076923076922
ewma,high_volatility,35,0.158075323450169,0.0974525226425785,0.1580702921976433,-0.055840425783693595,0.6571428571428571
ewma,remaining_months,104,0.158075323450169,0.022511303888656624,0.028560143489201745,-0.011647587503370237,0.75
ledoit_wolf,high_volatility,35,0.158075323450169,0.0839299582895952,0.16040737447748615,-0.07252928936477496,0.8
ledoit_wolf,remaining_months,104,0.158075323450169,0.039690052829432165,0.05043345817374004,0.03471753352342481,0.14423076923076922
