estimator,window_start,window_end,observations,assets,matrix_shape,minimum_eigenvalue,maximum_eigenvalue,condition_number,mean_diagonal_daily_variance,minimum_diagonal_daily_variance,maximum_diagonal_daily_variance,lambda,half_life_days,ledoit_wolf_shrinkage
sample,2024-08-27,2026-08-31,504,22,22x22,3.549908328572656e-05,0.0016952143297669607,47.753749473541276,0.0003201517311176717,0.00011457664459458478,0.000774149785757022,,,
ewma,2024-08-27,2026-08-31,504,22,22x22,8.35207899131446e-06,0.001444159359200354,172.91016532556472,0.0002975668842299976,7.28782238089137e-05,0.0009404135106584115,0.94,11.202305583621158,
ledoit_wolf,2024-08-27,2026-08-31,504,22,22x22,6.072678580151691e-05,0.001569643893049681,25.847636629081652,0.0003195165094289461,0.0001326195308440026,0.0007322652823013224,,,0.08905039846030217
