model,mean_turnover,median_turnover,turnover_std,p95_turnover,maximum_turnover,largest_turnover_rebalance_date,turnover_target_l1_change_correlation,turnover_abs_predicted_vol_change_correlation
sample,0.05817744227871,0.048802312118790644,0.047170433186357816,0.13061000587437568,0.444132880764809,2020-03-31,0.9864636854580775,0.8395303808118527
ewma,0.37536198462198195,0.36498204571626663,0.10435811722933529,0.5526443051090844,0.7649531428596618,2018-10-31,0.9978472549116648,0.1005284350727329
ledoit_wolf,0.055874602566398486,0.04485812809950715,0.04561427339983495,0.12388198038125132,0.4365419852981635,2020-03-31,0.9872955859826975,0.8591384019270855
equal_weight,0.0222421930941155,0.020546726781962253,0.007276679603784651,0.033647604013119246,0.0446620378458049,2022-10-31,,
