model,cost_bps_per_traded_dollar,gross_annualized_return,gross_annualized_realized_volatility,gross_sharpe_ratio_rf0,gross_maximum_drawdown,net_annualized_return,net_annualized_realized_volatility,net_sharpe_ratio_rf0,net_maximum_drawdown,annualized_transaction_cost_drag,cumulative_total_transaction_cost,charged_rebalances
sample,5.0,0.12761004664223852,0.14588112915265486,0.8965036083116378,-0.3323520269338005,0.12682684817176249,0.1458850429061018,0.8917188774650205,-0.33241281686473745,0.000783198470476032,0.00802848703446198,138
ewma,5.0,0.12172438409662467,0.14549619182370696,0.8625232247235405,-0.31119850002559657,0.11670628483996559,0.14548126076598875,0.8317648034893842,-0.31152938342600744,0.005018099256659081,0.05179995387783351,138
ledoit_wolf,5.0,0.1270174109571316,0.14583143191717599,0.8931473869170901,-0.3322600358978721,0.12626560009385046,0.1458349820939577,0.8885516353783158,-0.33232094669714574,0.0007518108632811327,0.007710695154162992,138
equal_weight,5.0,0.17819511561557722,0.16319673416305888,1.0869262539131925,-0.3280201238673911,0.1778821974716438,0.16319545899906382,1.0853048282610163,-0.32803126342427513,0.0003129181439334161,0.0030694226469879394,138
sample,10.0,0.12761004664223852,0.14588112915265486,0.8965036083116378,-0.3323520269338005,0.12604411843504315,0.1458893964151517,0.886931729844082,-0.3324736067956747,0.0015659282071953662,0.01605697406892396,138
ewma,10.0,0.12172438409662467,0.14549619182370696,0.8625232247235405,-0.31119850002559657,0.11170861846390578,0.14547826595711974,0.8009343472817224,-0.31186026682641843,0.010015765632718887,0.10359990775566702,138
ledoit_wolf,10.0,0.1270174109571316,0.14583143191717599,0.8931473869170901,-0.3322600358978721,0.125514220994696,0.14583894041355547,0.8839536337629709,-0.33238185749641924,0.0015031899624355916,0.015421390308325985,138
equal_weight,10.0,0.17819511561557722,0.16319673416305888,1.0869262539131925,-0.3280201238673911,0.17756935473920588,0.16319422226602448,1.0836831220709924,-0.32804240298115894,0.0006257608763713396,0.006138845293975879,138
sample,20.0,0.12761004664223852,0.14588112915265486,0.8965036083116378,-0.3323520269338005,0.12448006416297508,0.1458994225386208,0.8773503593064849,-0.33259518665754884,0.003129982479263438,0.03211394813784792,138
ewma,20.0,0.12172438409662467,0.14549619182370696,0.8625232247235405,-0.31119850002559657,0.10177428421606671,0.14550808509650784,0.7390876963845598,-0.3125220336272402,0.01995009988055796,0.20719981551133404,138
ledoit_wolf,20.0,0.1270174109571316,0.14583143191717599,0.8931473869170901,-0.3322600358978721,0.1240127572020433,0.14584808134484842,0.8747510362961021,-0.33250367909496625,0.0030046537550882935,0.03084278061665197,138
equal_weight,20.0,0.17819511561557722,0.16319673416305888,1.0869262539131925,-0.3280201238673911,0.1769438954433873,0.16319186409628086,1.0804388726121736,-0.328064682094927,0.0012512201721899263,0.012277690587951758,138
